id	Stato	Regione	Provincia	Comune	value
A664	Italia	Lombardia	Bergamo	Bariano	2533
A668	Italia	Lombardia	Monza e della Brianza	Barlassina	2952
A683	Italia	Lombardia	Lecco	Barzago	989
A684	Italia	Lombardia	Bergamo	Barzana	565
A686	Italia	Lombardia	Lecco	Barzano'	1874
A687	Italia	Lombardia	Lecco	Barzio	519
A690	Italia	Lombardia	Pavia	Bascape'	1058
A697	Italia	Lombardia	Milano	Basiano	1804
A699	Italia	Lombardia	Milano	Basiglio	4722
A702	Italia	Lombardia	Brescia	Bassano Bresciano	1265
A729	Italia	Lombardia	Brescia	Bedizzole	7181
A741	Italia	Lombardia	Pavia	Belgioioso	4293
A744	Italia	Lombardia	Como	Bellagio	2114
A745	Italia	Lombardia	Lecco	Bellano	1369
A751	Italia	Lombardia	Milano	Bellinzago Lombardo	2144
A759	Italia	Lombardia	Monza e della Brianza	Bellusco	3255
A786	Italia	Lombardia	Bergamo	Berbenno	838
A787	Italia	Lombardia	Sondrio	Berbenno di Valtellina	1951
A791	Italia	Lombardia	Como	Beregazzo con Figliaro	836
A792	Italia	Lombardia	Pavia	Bereguardo	1377
A794	Italia	Lombardia	Bergamo	Bergamo	76680
A799	Italia	Lombardia	Brescia	Berlingo	1252
A802	Italia	Lombardia	Monza e della Brianza	Bernareggio	5602
A804	Italia	Lombardia	Milano	Bernate Ticino	1253
A811	Italia	Lombardia	Lodi	Bertonico	676
A815	Italia	Lombardia	Bergamo	Berzo San Fermo	623
A816	Italia	Lombardia	Brescia	Berzo Demo	701
A817	Italia	Lombardia	Brescia	Berzo Inferiore	1256
A818	Italia	Lombardia	Monza e della Brianza	Besana in Brianza	6180
A819	Italia	Lombardia	Varese	Besano	765
A820	Italia	Lombardia	Milano	Besate	1042
A825	Italia	Lombardia	Varese	Besnate	2370
A826	Italia	Lombardia	Varese	Besozzo	4404
A845	Italia	Lombardia	Varese	Biandronno	1669
A848	Italia	Lombardia	Sondrio	Bianzone	910
A849	Italia	Lombardia	Monza e della Brianza	Biassono	4738
A861	Italia	Lombardia	Brescia	Bienno	1834
A866	Italia	Lombardia	Mantova	Bigarello	1128
A870	Italia	Lombardia	Como	Binago	1565
A872	Italia	Lombardia	Milano	Binasco	4690
A878	Italia	Lombardia	Brescia	Bione	621
A891	Italia	Lombardia	Varese	Bisuschio	1346
A898	Italia	Lombardia	Como	Bizzarone	589
A905	Italia	Lombardia	Como	Blevio	537
A918	Italia	Lombardia	Varese	Bodio Lomnago	936
A919	Italia	Lombardia	Lodi	Boffalora d'Adda	824
A920	Italia	Lombardia	Milano	Boffalora sopra Ticino	1787
A937	Italia	Lombardia	Bergamo	Bolgare	2938
A940	Italia	Lombardia	Milano	Bollate	22240
A950	Italia	Lombardia	Bergamo	Boltiere	3317
A962	Italia	Lombardia	Bergamo	Bonate Sotto	3446
A963	Italia	Lombardia	Bergamo	Bonate Sopra	4200
A972	Italia	Lombardia	Cremona	Bonemerse	502
A989	Italia	Lombardia	Pavia	Borgarello	1096
A995	Italia	Lombardia	Lodi	Borghetto Lodigiano	2310
B010	Italia	Lombardia	Bergamo	Borgo di Terzo	577
B011	Italia	Lombardia	Mantova	Borgoforte	1726
B012	Italia	Lombardia	Mantova	Motteggiana	1319
B013	Italia	Lombardia	Mantova	Borgofranco sul Po	518
B017	Italia	Lombardia	Lodi	Borgo San Giovanni	1402
B028	Italia	Lombardia	Pavia	Borgo Priolo	1316
B030	Italia	Lombardia	Pavia	Borgoratto Mormorolo	700
B035	Italia	Lombardia	Brescia	Borgo San Giacomo	3566
B040	Italia	Lombardia	Brescia	Borgosatollo	4695
B049	Italia	Lombardia	Sondrio	Bormio	4202
B051	Italia	Lombardia	Pavia	Bornasco	1357
B054	Italia	Lombardia	Brescia	Borno	1451
B081	Italia	Lombardia	Lecco	Bosisio Parini	1278
B088	Italia	Lombardia	Bergamo	Bottanuco	2642
B091	Italia	Lombardia	Brescia	Botticino	4340
B100	Italia	Lombardia	Brescia	Bovegno	834
B102	Italia	Lombardia	Brescia	Bovezzo	3938
